"📢推播設定時間
",,📢推播成效每周二、五更新,🤖🏆開啟率最高前五名(推播數量>=5筆),📢扭蛋機排程表看後台,,,🤖推播開啟率中位數,,,📢其他注意,,,,,,,
新SLOT-12:05、直播抽獎-活動前3分鐘,,,通關地圖、CCU紅包、每日登入、直播抽獎、外贈送寶石,,,,0.109%,,,颱風天通常會加開活動,,,,,,,
,,,,,,,,,,,,,,,,,
日期,時間,標題(最多10個字),內容,節慶,活動分類,狀態,🤖點閱次數,🤖發送次數,開啟率,🤖開啟率中位數,,🤖項目,,🤖開啟率中位數,,🤖有效數量(有開啟率的),📢推播設定邏輯
2024/8/8,12:00:00,舉重女神今晚會成功奪牌嗎？,競猜最高獎金兩千萬！每天登入還有免費刮刮卡喔！,-,競猜,已發送,,,0.108%,,,,,,,,
2024/8/8,19:00:00,霸氣紅包牆七點開搶！,父親節快樂！紅包有機會抽到阿波羅！,-,紅包牆,已發送,,,0.139%,,,,,,,,
2024/8/9,22:00:00,魚機贏分達標就送寶石！,最多百顆寶石！心動不如馬上行動！,-,魚機外贈送寶石,已發送,,,0.196%,,,,,,,,
2024/8/9,12:00:00,你的好運免費金到囉！,打開包你發！刮開你的好禮~,-,每日登入,已發送,,,0.101%,,,,,,,,
2024/8/10,19:00:00,紅包是可以拿了又拿嗎？,特洛伊卡片，贏分達標就有機會抽到他！,-,紅包牆,已發送,,,0.132%,,,,,,,,
2024/8/10,12:00:00,是免費金幣！,小妹來為各位加油！刮刮卡大獎刮起來！,-,每日登入,已發送,,,0.131%,,,,,,,,
2024/8/11,19:00:00,歐爸紅包牆開跑啦！,贏分達標就有機會抽到黑帝斯卡片！,-,紅包牆,已發送,,,0.112%,,,,,,,,
2024/8/11,12:00:00,【免費】金幣放送中！,登入即拿超簡單！,-,每日登入,已發送,,,0.176%,,,,,,,,
2024/8/12,19:00:00,今天的威力卡你衝了沒？,衝等級就送長毛象威力卡！,-,天天衝等,已發送,,,,,,,,,,,
2024/8/12,12:00:00,免費紅包限時大放送！,限量好禮！寶石、金幣全送乎你！,-,CCU紅包,已發送,,,,,,,,,,,
2024/8/13,12:00:00,是免費的紅包！,限量好禮！寶石、金幣我全都要！,-,CCU紅包,已發送,,,,,,,,,,,
